Station_ID,Station_Name,Longitude,Latitude,Elevation_m,Rainfall_mm,Days_Observed
IN020091600,KUNDHA (KAILKUND),76.65,11.27,1631.0,73.0,31
IN009165400,KUNTHUR,76.12,12.12,869.0,55.9,31
IN001030200,KUPPAM,78.35,12.75,684.0,41.6,31
IN010050500,KUTTIADI,75.75,11.67,54.0,391.9,31
IN009153500,LINGARAJCHATRA,76.8,12.48,707.0,56.0,31
IN009150801,MADDUR,77.03,12.6,648.0,8.7,31
IN020081700,MADURAI,78.083,9.833,131.0,187.8,31
IN020080200,MADURAI,78.117,9.917,133.0,206.4,31
IN009081900,MAKUT,75.73,12.08,94.0,84.0,31
IN009150701,MALAVALLI,77.07,12.38,732.0,33.0,31
IN010030100,MALAYATTUR,76.52,10.2,45.0,201.0,31
IN020100600,MANAMATHURAI,78.47,9.7,67.0,145.2,31
IN010020700,MANANTODDY,76.02,11.8,694.0,25.6,31
IN009150700,MANDYA,76.88,12.53,671.0,20.0,31
IN010060400,MANJERI,76.13,11.12,107.0,121.4,31
IN010072200,MANNARGHAT,76.47,10.98,90.0,223.1,31
IN010041100,MARAYUR,77.15,10.27,1088.0,38.0,31
IN010011500,MAVELIKARA,76.53,9.25,14.0,147.7,31
IN009154200,MELKOTE,76.65,12.65,981.0,10.0,31
IN020082400,MELUR,78.33,10.05,149.0,150.5,31
IN009080900,MERCARA,75.73,12.43,1152.0,17.0,31
IN009081000,MERCARA         OBSY SR,75.73,12.42,1152.0,64.6,31
IN020031001,METTUPALAYAM,76.95,11.3,326.0,66.5,31
IN020112700,METTUR DAM      OBSY,77.82,11.8,244.0,101.0,31
IN020101000,MOREKULAM,78.8,9.25,1.0,217.8,31
IN009162401,MUDIGUNDAM,77.08,12.08,632.0,83.9,31
IN020101100,MUDUKULATHUR,78.52,9.35,27.0,100.0,31
IN010092100,MUKUNDAPURAM,76.17,10.25,8.0,31.8,31
IN020031801,MULANUR,77.7,10.78,220.0,112.0,31
IN009081801,MURKHAL,76.17,12.13,861.0,102.2,31
IN009160100,MYSORE,76.7,12.3,767.0,17.0,31
IN009165000,MYSORE HALL,76.67,12.3,767.0,2.5,31
IN020091300,NADUVATTAM,76.55,11.47,1950.0,95.6,31
IN009081601,NAGARHOLE,76.12,12.03,805.0,62.0,31
IN020111300,NAMAKKAL,78.17,11.22,261.0,278.0,31
IN009160600,NANJANGUD,76.68,12.13,653.0,16.2,31
IN009081600,NAPOKLU,75.68,12.3,917.0,132.8,31
IN020082300,NATHAM,78.13,10.23,247.0,233.9,31
IN020051500,NEDUNGAL,78.27,12.37,466.0,49.6,31
IN010032000,NERIAMANGALAM,76.78,10.05,101.0,326.5,31
IN009192301,NIDSALE,77.05,12.77,797.0,0.0,31
IN020080500,NILAKOTTAI,77.85,10.17,276.0,81.0,31
IN010060500,NILAMBUR,76.233,11.283,31.0,50.9,31
IN020110700,OMALUR,78.05,11.75,65.0,125.1,31
IN020091500,OOTACAMUND      OBSY SR,76.73,11.4,2249.0,72.2,31
IN010071300,OTTAPALAM,76.38,10.78,34.0,67.2,31
IN010042600,PALA,76.75,9.6,134.0,417.3,31
IN020051300,PALACODE,78.08,12.3,493.0,63.1,31
IN020080900,PALANI,77.52,10.45,321.0,116.6,31
IN010071000,PALGHAT,76.65,10.78,97.0,187.6,31
IN020031900,PALLADAM,77.3,10.98,366.0,97.0,31
IN009152100,PANDAVAPURA,76.67,12.5,786.0,20.6,31
IN020100700,PARAMAKUDI,78.58,9.55,32.0,141.2,31
IN020111400,PARAMATHI,78.03,11.17,125.0,121.0,31
IN010071200,PARLI,76.55,10.8,61.0,261.0,31
IN010030200,PARUR,76.22,10.15,3.0,116.7,31
IN010081400,PATTANAMPHITTA,76.77,9.27,30.0,331.0,31
IN010020300,PAYYANUR,75.2,12.1,18.0,134.3,31
IN020051201,PENNAGARAM,77.9,12.13,533.0,63.0,31
IN020080100,PERAIYUR,77.78,9.73,1250.0,129.0,31
IN020080401,PERIAKULAM,77.53,10.12,287.0,105.8,31
IN010061500,PERINTHALAMANNA,76.23,10.97,192.0,487.2,31
IN020030901,PERIYANAICKAMPAL,76.95,11.15,436.0,124.0,31
IN009161000,PERIYAPATNA,76.1,12.33,859.0,30.8,31
IN010031900,PERUMPAVUR,76.48,10.12,37.0,222.0,31
IN020030800,PERUNDURAI,77.58,11.28,294.0,86.4,31
IN020031600,POLLACHI,77.02,10.65,270.0,124.6,31
IN010060100,PONNANI,75.92,10.78,1.0,83.0,31
IN009082000,POONAMPET,75.93,12.15,857.0,102.6,31
IN009081700,PULINGOTH,75.57,12.33,919.0,177.0,31
IN010082000,PUNALUR,76.92,9.0,33.0,264.6,31
IN009130600,PUTTUR,75.2,12.77,140.0,89.7,31
IN010050600,QUILANDI,75.7,11.45,8.0,216.0,31
IN020100900,RAMANATHAPURAM,78.83,9.38,23.0,190.9,31
IN009010400,RAMNAGARAM,77.28,12.72,686.0,10.2,31
IN020110900,RASIPURAM,78.18,11.45,274.0,160.2,31
IN020050800,RAYAKOTTAH,78.05,12.52,896.0,91.2,31
IN020110800,SALEM,78.167,11.65,278.0,83.4,31
IN009082600,SAMPAJE,75.55,12.5,141.0,304.5,31
IN020141100,SANKARANKOIL,77.55,9.17,152.0,184.6,31
IN020021900,SANKARAPURAM,78.92,11.88,198.0,154.0,31
IN020111600,SANKARI,77.87,11.47,268.0,54.2,31
IN009011700,SATNUR(SATNURU),77.32,12.45,711.0,50.8,31
IN020100901,SATTUR,77.92,9.37,62.0,219.0,31
IN020030400,SATYAMANGALAM,77.25,11.5,258.0,134.6,31
IN020111500,SENDAMANGALAM,78.23,11.28,261.0,219.3,31
IN010010600,SHERTHALA,76.33,9.7,4.0,100.6,31
IN020080201,SHOLAVANDAN,77.97,10.02,165.0,193.0,31
IN020100401,SIVAGANGA,78.48,9.85,101.0,188.9,31
IN020141200,SIVAGIRI,77.43,9.33,163.0,180.1,31
IN020100701,SIVAKASI,77.78,9.45,106.0,213.4,31
IN009081300,SOMWARPET,75.85,12.6,1131.0,1.9,31
IN009082500,SRIMANGALA,75.98,12.02,848.0,48.0,31
IN009115200,SRIRAMDEVAR DAM,76.23,12.77,867.0,19.8,31
IN009150200,SRIRANGPATNAM,76.68,12.42,683.0,34.8,31
IN020100601,SRIVILLIPUTHUR,77.63,9.52,138.0,250.2,31
IN020031301,SULUR,77.13,11.03,329.0,58.0,31
IN009082300,SUNTICOPPA,75.83,12.45,975.0,36.9,31
IN009161200,T.NARSIPUR,76.9,12.2,639.0,31.2,31
IN020030300,TALAVADI,77.02,11.78,805.0,43.1,31
IN010020400,TALIPARAMBA,75.35,12.05,36.0,123.4,31
IN020081500,TALLAKULAM,78.17,9.97,441.0,211.0,31
IN010092500,THALIPILLY,76.25,10.67,162.0,92.7,31
IN020111000,THAMMAMPATTY,78.5,11.45,240.0,142.0,31
IN010011200,THIRUVALLA,76.55,9.38,3.0,78.2,31
IN020130700,TIRUCHCHIRAPALLI,78.717,10.767,88.0,212.0,31
IN020110200,TIRUCHENGODE,77.9,11.38,268.0,82.8,31
IN020120100,TIRUKKATTUPALLI,78.97,10.85,54.0,146.6,31
IN020080202,TIRUMANGALAM,77.98,9.82,125.0,221.3,31
IN020011700,TIRUPATTUR      OBSY SR,78.57,12.48,390.0,50.4,31
IN020102500,TIRUPPATHUR,78.6,10.12,98.0,98.2,31
IN020010601,TIRUPPATTUR,78.58,12.48,338.0,50.6,31
IN020031501,TIRUPPUR,77.35,11.1,299.0,74.8,31
IN020100501,TIRUPPUVANAM,78.25,9.83,105.0,116.0,31
IN020100301,TIRUVADANAI,78.92,9.78,6.0,88.0,31
IN010060800,TIRUVANGADI,75.92,11.05,6.0,135.6,31
IN009081901,TITIMATHI,76.0,12.22,864.0,48.2,31
IN010090600,TRICHUR,76.22,10.52,15.0,171.2,31
IN020031300,UDUMALPET,77.25,10.58,368.0,114.6,31
IN020080300,USILAMPATTI,77.78,9.97,209.0,174.0,31
IN020080400,UTHAMAPALAYAM,77.33,9.8,426.0,140.6,31
IN020051001,UTHANKARAI,78.55,12.25,366.0,37.0,31
IN010040500,VAIKOM,76.4,9.75,2.0,72.4,31
IN020111200,VALAPADY,78.42,11.67,301.0,150.5,31
IN010041800,VANDANMETTU,77.13,9.72,1139.0,250.4,31
IN010050601,VAYITTIRI,76.03,11.55,945.0,78.5,31
IN020080700,VEDASANDUR,77.95,10.52,76.0,151.1,31
IN010043200,VELLOOR,76.83,9.9,142.0,534.2,31
IN009081100,VIRAJPET,75.8,12.18,923.0,62.3,31
IN020100800,VIRUDHUNAGAR,77.97,9.58,101.0,151.4,31
IN020100502,WATRAP,77.63,9.63,153.0,225.7,31
IN009162400,YELAWALL,76.53,12.35,820.0,45.7,31
IN020111700,YERCAUD,78.22,11.78,1402.0,112.6,31
IN020101200,KAMUTHI,78.37,9.42,30.0,96.4,30
IN009154100,KOPPA,76.78,12.7,789.0,12.7,30
IN009150800,KRISHNARAJPET,76.48,12.67,808.0,11.4,30
IN010043000,PEERMADE RESIDEN,76.98,9.57,970.0,332.4,30
IN009150400,BASARALU,76.8,12.7,759.0,4.9,29
IN020141400,VILATNIKULAM,78.17,9.15,21.0,101.4,29
IN009162702,YELANDUR,77.03,12.05,668.0,0.0,7
